country_name,country_code,year,cost_healthy_diet_ppp,affordability_ratio,pct_cannot_afford_healthy_diet,veg_cost_share,population,gdp_per_capita,poverty_headcount_pct,food_insecurity_pct
El Salvador,SLV,2021,,0.27,,,6255782.0,10809.713399518,5.1,48.4
Ireland,IRL,2021,2.29,0.09,2.2,0.25,5028426.0,116702.85817485,0.1,5.4
Kenya,KEN,2021,3.42,0.29,78.0,0.11,53219166.0,5338.85243382781,46.4,72.3
Lebanon,LBN,2021,3.71,0.19,22.9,0.11,5718122.0,11599.7755083765,,36.5
Mauritius,MUS,2021,3.77,0.1,21.3,0.34,1279623.0,23010.2013826906,,32.0
Sint Maarten,SXM,2021,4.82,,,,41571.0,40507.0672411717,,
"Somalia, Fed. Rep.",SOM,2021,,0.92,,0.19,17271431.0,1392.31782053371,,79.5
Sri Lanka,LKA,2021,4.27,0.16,33.8,0.23,22700372.0,14316.1352225567,,10.9
Togo,TGO,2021,3.12,0.58,56.6,0.12,7936176.0,2952.09730066985,34.7,56.0
Trinidad and Tobago,TTO,2021,4.43,0.13,33.4,0.24,1487717.0,30482.1201798631,,
Belgium,BEL,2022,2.53,,0.8,,11641820.0,68878.9167847285,0.0,7.3
Belize,BLZ,2022,3.85,,16.8,,402733.0,13459.0765078205,,
Bermuda,BMU,2022,3.96,,,,64749.0,104909.257552793,,
"Congo, Dem. Rep.",COD,2022,3.37,,92.4,,102396968.0,1589.91203243059,,80.2
Ecuador,ECU,2022,3.2,,26.4,,17823897.0,15195.6639594842,4.4,36.9
"Egypt, Arab Rep.",EGY,2022,4.69,,30.7,,112618250.0,17524.0240491999,,29.8
Equatorial Guinea,GNQ,2022,4.43,,60.7,,1803545.0,18137.114494644,8.8,
Guinea,GIN,2022,4.14,,45.9,,14055137.0,4061.71755990026,,
Kazakhstan,KAZ,2022,2.88,,6.2,,20034609.0,35889.3953214448,,2.2
Kyrgyz Republic,KGZ,2022,3.7,,40.6,,6955788.0,6576.46977080639,4.5,7.0
Liberia,LBR,2022,3.94,,61.1,,5373294.0,1691.30467616419,,81.0
Madagascar,MDG,2022,3.65,,85.8,,30437261.0,1716.40079421689,,68.6
Malawi,MWI,2022,3.88,,89.8,,20568728.0,1778.02399491871,,81.7
Maldives,MDV,2022,3.74,,7.2,,524106.0,22876.8862033838,,13.4
Philippines,PHL,2022,3.97,,50.2,,113964338.0,10129.7407504053,,33.2
Qatar,QAT,2022,2.52,,1.8,,2892455.0,122901.018274888,,
Sierra Leone,SLE,2022,3.39,,63.6,,8276807.0,3143.46625292281,,88.6
St. Vincent and the Grenadines,VCT,2022,5.48,,,,102046.0,18032.4150562634,,
Turks and Caicos Islands,TCA,2022,,,,,45847.0,30216.0346068372,,
Zambia,ZMB,2022,3.61,,86.5,,20152938.0,3840.115825721,71.7,46.1
Armenia,ARM,2023,4.33,,57.4,,2943393.0,21551.7793903081,1.9,7.8
Belarus,BLR,2023,3.72,,1.1,,9115680.0,30859.5916206484,,1.1
Brazil,BRA,2023,4.55,,24.1,,211140729.0,21193.0721417478,3.8,13.5
Central African Republic,CAF,2023,4.13,,87.2,,5152421.0,1258.13048389217,,
Comoros,COM,2023,4.97,,49.8,,850387.0,3896.71858176845,,79.7
"Congo, Rep.",COG,2023,4.33,,78.2,,6182885.0,6855.92386613313,,
Honduras,HND,2023,4.64,,39.9,,10644851.0,7184.25562362375,17.0,41.3
Hungary,HUN,2023,5.4,,30.5,,9686463.0,46376.1979062264,,15.6
"Iran, Islamic Rep.",IRN,2023,4.52,,38.5,,90608707.0,18932.6833817658,2.5,38.8
Japan,JPN,2023,7.48,,13.3,,124370947.0,52726.2389417641,,5.8
Kuwait,KWT,2023,2.93,,,,4838782.0,53083.3848600632,,8.4
Mauritania,MRT,2023,5.28,,53.8,,5022441.0,6971.65100210032,,66.3
Morocco,MAR,2023,3.45,,13.9,,37712505.0,9902.8056640625,,
Namibia,NAM,2023,4.5,,48.1,,2963095.0,11247.8071969605,,55.9
Netherlands,NLD,2023,3.38,,1.1,,18092524.0,80391.6029350952,,7.5
New Zealand,NZL,2023,3.59,,,,5172836.0,54949.699278118,,17.3
Norway,NOR,2023,4.51,,1.3,,5519167.0,107767.977198972,0.2,7.8
Russian Federation,RUS,2023,3.14,,14.9,,145440500.0,44298.67578125,0.1,2.8
Seychelles,SYC,2023,4.22,,51.2,,127951.0,31893.9628108379,,
Slovenia,SVN,2023,3.97,,2.4,,2118396.0,56150.6852244867,0.0,8.2
Sudan,SDN,2023,,,,,50042791.0,2422.6533203125,,
Sweden,SWE,2023,4.06,,4.9,,10551494.0,68457.9015289277,0.8,6.9
Switzerland,CHE,2023,3.01,,1.1,,8870561.0,93939.7784980038,,2.0
Uganda,UGA,2023,3.68,,76.4,,48656601.0,3100.19016956104,,54.6
Zimbabwe,ZWE,2023,,,,,16340822.0,5795.99047011573,,68.8
Antigua and Barbuda,ATG,2024,5.92,,,,93772.0,33351.5904481886,,
Argentina,ARG,2024,,,,,45696159.0,30475.3876517556,1.0,
Aruba,ABW,2024,5.3,,,,108066.0,51712.1531358934,,
Austria,AUT,2024,3.19,,2.9,,9120813.0,75774.4136543206,,
Botswana,BWA,2024,4.21,,59.0,,2521139.0,20612.4785435561,,
British Virgin Islands,VGB,2024,5.96,,,,39471.0,,,
Cameroon,CMR,2024,4.36,,55.0,,29123744.0,5597.10321648993,,
Colombia,COL,2024,4.9,,36.6,,52886363.0,22439.4001359818,8.5,
Croatia,HRV,2024,4.89,,12.9,,3875325.0,49550.8073348367,,
Ethiopia,ETH,2024,4.67,,70.9,,132059767.0,3292.3093336937,,
Guinea-Bissau,GNB,2024,4.09,,65.5,,2201352.0,3093.46533465682,,
Montenegro,MNE,2024,4.96,,8.0,,638479.0,34062.8241865953,,
Niger,NER,2024,4.98,,86.7,,27032412.0,2044.04904937758,,
Romania,ROU,2024,4.12,,20.7,,19015088.0,49076.7137157187,,
Serbia,SRB,2024,5.58,,9.4,,8421006.0,32832.274492238,,
Slovak Republic,SVK,2024,4.49,,27.7,,5506760.0,47846.6169154961,,
United Arab Emirates,ARE,2024,3.22,,2.0,,11027129.0,79343.7793099888,,
Uruguay,URY,2024,4.41,,33.2,,3386588.0,36596.7847357669,0.2,
Uzbekistan,UZB,2024,4.67,,10.5,,36361859.0,12518.4323028403,2.7,
Antigua and Barbuda,ATG,2025,6.05,,,,94209.0,35832.4795485115,,
Argentina,ARG,2025,,,,,45851378.0,32586.6312086783,,
Aruba,ABW,2025,5.49,,,,108147.0,,,
Austria,AUT,2025,3.28,,2.9,,9113574.0,76777.5421537618,,
Botswana,BWA,2025,4.44,,59.9,,2562122.0,20697.9104661898,,
British Virgin Islands,VGB,2025,6.42,,,,39732.0,,,
Cameroon,CMR,2025,4.58,,55.3,,29879337.0,5787.85440270861,,
Colombia,COL,2025,5.04,,35.9,,53425635.0,22640.4224606513,,
Croatia,HRV,2025,5.09,,12.0,,3848160.0,50946.1671131832,,
Ethiopia,ETH,2025,4.75,,67.9,,135472051.0,3621.67487597821,,
Guinea-Bissau,GNB,2025,4.38,,66.4,,2249515.0,3293.09532269486,,
Montenegro,MNE,2025,5.08,,7.5,,632729.0,35422.6449824931,,
Niger,NER,2025,5.01,,85.8,,27917831.0,2177.25014417163,,
Romania,ROU,2025,4.21,,20.1,,18908650.0,50895.081617639,,
Serbia,SRB,2025,5.74,,8.5,,8363164.0,33909.7605745332,,
Slovak Republic,SVK,2025,4.57,,27.2,,5474881.0,49308.7048471448,,
United Arab Emirates,ARE,2025,3.27,,1.9,,11346000.0,,,
Uruguay,URY,2025,4.54,,32.0,,3384688.0,38314.8861221656,,
Uzbekistan,UZB,2025,4.6,,6.2,,37053428.0,13601.2917473678,2.3,
Bahrain,BHR,2017,3.04,,,,1481995.0,50184.5005767301,,
Burundi,BDI,2017,3.4,,90.6,,11506762.0,791.393494929898,,
Cambodia,KHM,2017,3.55,,,,16073372.0,5050.06356615113,,36.9
China,CHN,2017,2.62,,28.8,,1412354727.0,15022.4371883124,1.6,
Cote d'Ivoire,CIV,2017,2.66,,56.4,,26733372.0,4690.17801861096,,37.0
Gabon,GAB,2017,3.24,,32.8,,2156900.0,14796.6286374171,3.8,
Jamaica,JAM,2017,4.88,,31.1,,2815764.0,10466.4876782146,,46.9
Jordan,JOR,2017,2.88,,2.6,,10234226.0,10140.0335144087,,
Malta,MLT,2017,3.35,,5.6,,467902.0,45763.6968096243,0.2,5.0
Mongolia,MNG,2017,4.11,,51.9,,3104364.0,11096.0375604239,,
Mozambique,MOZ,2017,2.74,,85.9,,28166393.0,1282.74965991801,,
Myanmar,MMR,2017,,,,,51894938.0,4706.43248949598,10.3,
Oman,OMN,2017,2.29,,,,4537396.0,33619.4988982607,,
