Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Aruba,ABW,"Population, total",SP.POP.TOTL,108735,108908,109203,108587,107700,107310,107359,107995,108785
Aruba,ABW,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Aruba,ABW,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,48564.8286592372,50371.233830782,52885.8313816377,54184.1614486854,58327.4146842325,66103.1797066957,72272.7092136683,72117.8826659555,71934.4033931263
Australia,AUS,"Population, total",SP.POP.TOTL,24592588,24963258,25334826,25649248,25685412,26018721,26659922,27194286,27614411
Australia,AUS,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,0.6,..,0.9,..,..,..,..,..
Australia,AUS,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,12.7,13.3,12.3,11.9,11.4,12.9,13.8,..,..
Austria,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,53869.8321183556,56636.4953030542,60354.9279422121,58523.0337816246,62968.8538770186,72286.6352565355,74261.1961105071,75774.4136543206,76777.5421537618
Austria,AUT,"Population, total",SP.POP.TOTL,8797566,8840521,8879920,8916864,8955797,9041851,9131761,9177982,9208163
Austria,AUT,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,0.3,0.6,0.6,0.7,0.5,0.6,0.5,..,..
Austria,AUT,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,4.4,3.6,3,3.3,4.3,4.9,4.7,..,..
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14315.9296431061,15282.9995232298,16675.3179361558,15163.5703327282,20111.3756952109,22548.5145929929,23671.0936895744,25146.3588844273,26112.5306828203
