Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of a healthy diet in PPP dollars [CoHD_PPP],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Population [Pop],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop]
Food Prices for Nutrition 5.0,FPN 5.0,Aruba,ABW,2019,YR2019,4.28,..,..,107076,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Aruba,ABW,2020,YR2020,4.29,..,..,107400,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Aruba,ABW,2021,YR2021,4.43,0.2,..,107558,..,0.25
Food Prices for Nutrition 5.0,FPN 5.0,Aruba,ABW,2022,YR2022,5.01,..,..,107782,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Aruba,ABW,2023,YR2023,5.18,..,..,107939,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Aruba,ABW,2024,YR2024,5.3,..,..,108066,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Aruba,ABW,2025,YR2025,5.49,..,..,108147,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Australia,AUS,2017,YR2017,2.33,..,3.5,24731038,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Australia,AUS,2018,YR2018,2.36,..,3.8,25119706,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Australia,AUS,2019,YR2019,2.4,..,3.8,25482714,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Australia,AUS,2020,YR2020,2.51,..,3.8,25743791,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Australia,AUS,2021,YR2021,2.61,0.06,3.6,25956417,..,0.28
Food Prices for Nutrition 5.0,FPN 5.0,Australia,AUS,2022,YR2022,2.96,..,3.4,26200984,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Australia,AUS,2023,YR2023,3.19,..,3.2,26451124,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Australia,AUS,2024,YR2024,3.23,..,3.2,26713205,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Australia,AUS,2025,YR2025,3.33,..,3.2,26974026,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Austria,AUT,2017,YR2017,2.06,..,2.5,8798778,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Austria,AUT,2018,YR2018,2.11,..,2.4,8841650,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Austria,AUT,2019,YR2019,2.19,..,2.8,8880876,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Austria,AUT,2020,YR2020,2.31,..,2.5,8921405,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Austria,AUT,2021,YR2021,2.42,0.05,3.4,8967057,..,0.3
